name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Alexander Wennberg,C,SJS,79.0,503.7829927582443,80,18,37,15,93,655,28,93,76.73854944453555,88.87490223173211,83.05603214267057,49.350082478335565,98.73087042077944,20.864796676525586,86.16775936366545
Alex Ovechkin,LW,WSH,80.0,503.63854848067194,82,32,32,19,244,2,134,16,96.73194810860673,82.47210995878356,89.76709465672411,98.41497622843816,35.30992328587182,86.58049263941977,14.362003602827762
Filip Hronek,D,VAN,81.0,501.8885776037502,82,8,41,21,137,0,133,100,43.76439900542125,92.70990957447268,92.45660918818623,73.09320163727452,24.041903142373393,86.27824725642613,89.54430779959603
Matthew Knies,LW,TOR,82.0,501.77008719738706,79,23,43,16,140,1,152,32,87.4734690714837,94.0522307923996,85.05724001851257,74.59760610933046,34.06389429134738,91.31945259913584,35.20619431517751
Leo Carlsson,C,ANA,83.0,500.46516938071085,70,29,38,18,193,433,14,29,94.73486390810493,90.00514408143225,88.33783070721557,92.36819425972374,93.37606726662591,10.578595278548281,31.064473879060195
Anton Lundell,C,FLA,84.0,498.7605536864615,64,18,26,15,137,580,75,35,76.73854944453555,71.77080075114107,83.05603214267057,73.09320163727452,97.38606585900754,57.276936958022105,39.438966893810125
Trevor Zegras,C,PHI,85.0,497.3401018451502,81,26,41,23,167,131,46,28,91.8393299186974,92.70990957447268,94.54090702760493,85.7203701505893,67.08659719561541,35.73385787502957,29.70913010314085
Cutter Gauthier,LW,ANA,86.0,495.610678399863,76,41,28,19,286,102,64,20,99.18997262912384,75.60472423502827,89.76709465672411,99.58285474876814,62.692309500300205,49.635792642610966,19.137929987307494
Alexis Lafrenière,LW,NYR,87.0,494.92204066287445,82,24,33,15,164,9,84,42,89.14283912616693,84.01841374023245,83.05603214267057,84.43228768294753,43.51481622462949,62.65333118837974,48.104320557847686
Morgan Frost,C,CGY,88.0,493.50316925364245,82,22,21,16,140,601,59,39,85.65331399337745,60.1193595213247,85.05724001851257,74.59760610933046,97.70629470120241,46.284344062044255,44.08501084785061
Dylan Holloway,C,STL,89.0,493.3578789145953,59,22,29,8,162,31,129,41,85.65331399337745,77.329579146598,64.29205533698487,83.8021603482199,50.6054808301639,84.75122648652867,46.924062772722536
Jack Hughes,C,NJD,90.0,492.32399596426853,61,27,50,23,229,145,4,32,92.91477691565069,97.16743973467413,94.54090702760493,97.72356100817748,68.96407539546225,5.807041567521556,35.20619431517751
Jackson LaCombe,D,ANA,91.0,491.9345820737606,82,10,48,17,156,0,74,128,50.848509202140406,96.27896860369339,86.87492842532278,81.34456421973817,24.041903142373393,56.362044859713954,96.18366362077859
Rickard Rakell,RW,PIT,92.0,490.398135993097,60,24,24,16,166,81,71,43,89.14283912616693,67.28723918606975,85.05724001851257,85.2592688733614,59.627997824518914,54.665841282872506,49.35770968159492
William Eklund,LW,SJS,93.0,489.3830732595753,78,15,38,16,176,11,72,51,68.47468880863289,90.00514408143225,85.05724001851257,88.64326499134569,44.40277435039596,55.23120916745111,57.56875184180492
Mason McTavish,C,ANA,94.0,488.1707192551791,75,17,24,11,146,373,95,33,74.06453495037249,67.28723918606975,73.09736574713867,77.07494360119998,90.7696126311597,69.21917843024815,36.65784470899037
Charlie McAvoy,D,BOS,95.0,486.37623817000286,69,11,50,23,111,0,79,129,53.97917222336477,97.16743973467413,94.54090702760493,60.237741782400974,24.041903142373393,60.058576035092145,96.35049822449253
